#,Part,Spec / MPN,Qty per set,Unit
1,"XH housing, 4-way","JST XHP-4, female",5,ea
2,"XH housing, 5-way","JST XHP-5, female",1,ea
3,"XH housing, 6-way","JST XHP-6, female",1,ea
4,"XH housing, 7-way","JST XHP-7, female",2,ea
5,"XH housing, 9-way","JST XHP-9, female",1,ea
6,XH crimp contact,JST SXH-001T-P0.6,53,ea
7,Faston 250 receptacle,"TE 2178438-1, 6.3 mm, female, 20–24 AWG",12,ea
8,Faston 187 receptacle,"TE 170214-2, 4.8 mm, female, 20–24 AWG",4,ea
9,"Bootlace ferrule, insulated","DIN 46228-4, to suit final gauge",13,ea
10,Hook-up wire,"black silicone 600 V, gauge per Open question 1",25.1,m
11,"Ribbon, 4-conductor","28 AWG jacketed, black",1.0,m
12,"Braided sleeve, 3/4""",black PET expandable,0.30,m
13,"Braided sleeve, 1/2""",black PET expandable,1.70,m
14,"Braided sleeve, 1/4""",black PET expandable,2.55,m
15,"Heat-shrink, sleeve ends","black, sized to sleeve",18,ends
16,"Heat-shrink marker, label","black, one per assembly, printed with the assembly name",10,ea
